[ειπεν,G3004,V-2AAI-3S,verb second aorist active indicative third person singular,ask
αιθιοπων,G128,N-GPM,noun genitive plural masculine,Ethiopian
αιθιοψ,G128,N-NSM,noun nominative singular masculine,Ethiopian
αιμα,G129,N-NSN,noun nominative singular neuter,blood
αιμα,G129,N-ASN,noun accusative singular neuter,blood
αιματα,G129,N-APN,noun accusative plural neuter,blood
αιματεκχυσιας,G130,N-GSF,noun genitive singular feminine,shedding of blood
αιματι,G129,N-DSN,noun dative singular neuter,blood
αιματος,G129,N-GSN,noun genitive singular neuter,blood
αιματων,G129,N-GPN,noun genitive plural neuter,blood
αιμορροουσα,G131,V-PAP-NSF,verb present active participle nominative singular feminine,diseased with an issue of blood
αινεα,G132,N-VSM,noun vocative singular masculine,Ã†neas
αινεαν,G132,N-ASM,noun accusative singular masculine,Ã†neas
αινειν,G134,V-PAN,verb present active infinitive,praise
αινειτε,G134,V-PAM-2P,verb present active imperative second person plural,praise
αινεσεως,G133,N-GSF,noun genitive singular feminine,praise
αινιγματι,G135,N-DSN,noun dative singular neuter,X darkly
αινον,G136,N-ASM,noun accusative singular masculine,praise
αινουντα,G134,V-PAP-ASM,verb present active participle accusative singular masculine,praise
αινουντες,G134,V-PAP-NPM,verb present active participle nominative plural masculine,praise
αινουντων,G134,V-PAP-GPM,verb present active participle genitive plural masculine,praise
αινων,G134,V-PAP-NSM,verb present active participle nominative singular masculine,praise
αινων,G137,N-PRI,noun proper noun indeclinable,Ã†non
αιρε,G142,V-PAM-2S,verb present active imperative second person singular,away with
αιρει,G142,V-PAI-3S,verb present active indicative third person singular,away with
αιρεις,G142,V-PAI-2S,verb present active indicative second person singular,away with
αιρεσεις,G139,N-APF,noun accusative plural feminine,heresy which is the Greek word itself
αιρεσεις,G139,N-NPF,noun nominative plural feminine,heresy which is the Greek word itself
αιρεσεως,G139,N-GSF,noun genitive singular feminine,heresy which is the Greek word itself
αιρεσιν,G139,N-ASF,noun accusative singular feminine,heresy which is the Greek word itself
αιρεσις,G139,N-NSF,noun nominative singular feminine,heresy which is the Greek word itself
αιρεται,G142,V-PPI-3S,verb present passive indicative third person singular,away with
αιρετε,G142,V-PAM-2P,verb present active imperative second person plural,away with
αιρετικον,G141,A-ASM,adjective accusative singular masculine,heretic the Greek word itself
αιρησομαι,G138,V-FMI-1S,verb future middle indicative first person singular,choose
αιρομενον,G142,V-PPP-ASM,verb present passive participle accusative singular masculine,away with
αιροντος,G142,V-PAP-GSM,verb present active participle genitive singular masculine,away with
αιρων,G142,V-PAP-NSM,verb present active participle nominative singular masculine,away with
αιρωσιν,G142,V-PAS-3P,verb present active subjunctive third person plural,away with
αις,G3739,R-DPF,relative pronoun dative plural feminine,one
αισθησει,G144,N-DSF,noun dative singular feminine,judgment
αισθητηρια,G145,N-APN,noun accusative plural neuter,senses
αισθωνται,G143,V-2ADS-3P,verb second aorist middle deponent subjunctive third person plural,perceive
αισχροκερδεις,G146,A-APM,adjective accusative plural masculine,given to greedy of filthy lucre
αισχροκερδη,G146,A-ASM,adjective accusative singular masculine,given to greedy of filthy lucre
αισχροκερδως,G147,ADV,adverb,for filthy lucre's sake
αισχρολογιαν,G148,N-ASF,noun accusative singular feminine,filthy communication
αισχρον,G150,A-NSN,adjective nominative singular neuter,shame
αισχροτης,G151,N-NSF,noun nominative singular feminine,filthiness
αισχρου,G150,A-GSN,adjective genitive singular neuter,shame
αισχυνας,G152,N-APF,noun accusative plural feminine,dishonesty
αισχυνεσθω,G153,V-PPM-3S,verb present passive imperative third person singular,be ashamed
αισχυνη,G152,N-DSF,noun dative singular feminine,dishonesty
αισχυνη,G152,N-NSF,noun nominative singular feminine,dishonesty
αισχυνης,G152,N-GSF,noun genitive singular feminine,dishonesty
αισχυνθησομαι,G153,V-FPI-1S,verb future passive indicative first person singular,be ashamed
αισχυνθωμεν,G153,V-APS-1P,verb aorist passive subjunctive first person plural,be ashamed
αισχυνομαι,G153,V-PMI-1S,verb present middle indicative first person singular,be ashamed
αιτειν,G154,V-PAN,verb present active infinitive,ask
αιτεις,G154,V-PAI-2S,verb present active indicative second person singular,ask
αιτεισθαι,G154,V-PMN,verb present middle infinitive,ask
αιτεισθε,G154,V-PMI-2P,verb present middle indicative second person plural,ask
αιτειτε,G154,V-PAM-2P,verb present active imperative second person plural,ask
αιτειτε,G154,V-PAI-2P,verb present active indicative second person plural,ask
αιτειτω,G154,V-PAM-3S,verb present active imperative third person singular,ask
αιτημα,G155,N-ASN,noun accusative singular neuter,petition
αιτηματα,G155,N-NPN,noun nominative plural neuter,petition
αιτηματα,G155,N-APN,noun accusative plural neuter,petition
αιτησαι,G154,V-AAN,verb aorist active infinitive,ask
αιτησας,G154,V-AAP-NSM,verb aorist active participle nominative singular masculine,ask
αιτησασθε,G154,V-AMM-2P,verb aorist middle imperative second person plural,ask
αιτησει,G154,V-FAI-3S,verb future active indicative third person singular,ask
αιτησεσθε,G154,V-FMI-2P,verb future middle indicative second person plural,ask
αιτηση,G154,V-AMS-2S,verb aorist middle subjunctive second person singular,ask
αιτησης,G154,V-AAS-2S,verb aorist active subjunctive second person singular,ask
αιτησηται,G154,V-AMS-3S,verb aorist middle subjunctive third person singular,ask
αιτησητε,G154,V-AAS-2P,verb aorist active subjunctive second person plural,ask
αιτησον,G154,V-AAM-2S,verb aorist active imperative second person singular,ask
αιτησουσιν,G154,V-FAI-3P,verb future active indicative third person plural,ask
αιτησωμαι,G154,V-AMS-1S,verb aorist middle subjunctive first person singular,ask
αιτησωμεν,G154,V-AAS-1P,verb aorist active subjunctive first person plural,ask
αιτησωνται,G154,V-AMS-3P,verb aorist middle subjunctive third person plural,ask
αιτια,G156,N-NSF,noun nominative singular feminine,accusation
αιτιαν,G156,N-ASF,noun accusative singular feminine,accusation
αιτιας,G156,N-GSF,noun genitive singular feminine,accusation
αιτιας,G156,N-APF,noun accusative plural feminine,accusation
αιτινες,G3748,R-NPF,relative pronoun nominative plural feminine,X and they
αιτιον,G159,A-ASN,adjective accusative singular neuter,author
αιτιος,G159,A-NSM,adjective nominative singular masculine,author
αιτιου,G159,A-GSN,adjective genitive singular neuter,author
αιτιωματα,G157,N-APN,noun accusative plural neuter,complaint
αιτουμαι,G154,V-PMI-1S,verb present middle indicative first person singular,ask
αιτουμεθα,G154,V-PMI-1P,verb present middle indicative first person plural,ask
αιτουμενοι,G154,V-PMP-NPM,verb present middle participle nominative plural masculine,ask
αιτουντι,G154,V-PAP-DSM,verb present active participle dative singular masculine,ask
αιτουσα,G154,V-PAP-NSF,verb present active participle nominative singular feminine,ask
αιτουσιν,G154,V-PAP-DPM,verb present active participle dative plural masculine,ask
αιτουσιν,G154,V-PAI-3P,verb present active indicative third person plural,ask
αιτωμεθα,G154,V-PMS-1P,verb present middle subjunctive first person plural,ask
αιτωμεν,G154,V-PAS-1P,verb present active subjunctive first person plural,ask
αιτων,G154,V-PAP-NSM,verb present active participle nominative singular masculine,ask
αιφνιδιος,G160,A-NSM,adjective nominative singular masculine,sudden
αιχμαλωσιαν,G161,N-ASF,noun accusative singular feminine,captivity
αιχμαλωτιζοντα,G163,V-PAP-ASM,verb present active participle accusative singular masculine,lead away captive
αιχμαλωτιζοντες,G163,V-PAP-NPM,verb present active participle nominative plural masculine,lead away captive
αιχμαλωτισθησονται,G163,V-FPI-3P,verb future passive indicative third person plural,lead away captive
αιχμαλωτοις,G164,N-DPM,noun dative plural masculine,captive
αιωνα,G165,N-ASM,noun accusative singular masculine,age
αιωνας,G165,N-APM,noun accusative plural masculine,age
αιωνι,G165,N-DSM,noun dative singular masculine,age
αιωνια,G166,A-NPN,adjective nominative plural neuter,eternal
αιωνιαν,G166,A-ASF,adjective accusative singular feminine,eternal
αιωνιοις,G166,A-DPM,adjective dative plural masculine,eternal
αιωνιον,G166,A-ASN,adjective accusative singular neuter,eternal
αιωνιον,G166,A-ASF,adjective accusative singular feminine,eternal
αιωνιον,G166,A-ASM,adjective accusative singular masculine,eternal
αιωνιον,G166,A-NSN,adjective nominative singular neuter,eternal
αιωνιος,G166,A-NSF,adjective nominative singular feminine,eternal
αιωνιου,G166,A-GSN,adjective genitive singular neuter,eternal
αιωνιου,G166,A-GSF,adjective genitive singular feminine,eternal
αιωνιου,G166,A-GSM,adjective genitive singular masculine,eternal
αιωνιους,G166,A-APF,adjective accusative plural feminine,eternal
αιωνιων,G166,A-GPM,adjective genitive plural masculine,eternal
αιωνος,G165,N-GSM,noun genitive singular masculine,age
αιωνων,G165,N-GPM,noun genitive plural masculine,age
αιωσιν,G165,N-DPM,noun dative plural masculine,age
ακαθαρσια,G167,N-DSF,noun dative singular feminine,uncleanness
ακαθαρσια,G167,N-NSF,noun nominative singular feminine,uncleanness
ακαθαρσιαν,G167,N-ASF,noun accusative singular feminine,uncleanness
ακαθαρσιας,G167,N-GSF,noun genitive singular feminine,uncleanness
ακαθαρτα,G169,A-NPN,adjective nominative plural neuter,foul
ακαθαρτα,G169,A-APN,adjective accusative plural neuter,foul
ακαθαρτοις,G169,A-DPN,adjective dative plural neuter,foul
ακαθαρτον,G169,A-NSN,adjective nominative singular neuter,foul
ακαθαρτον,G169,A-ASN,adjective accusative singular neuter,foul
ακαθαρτον,G169,A-ASM,adjective accusative singular masculine,foul
ακαθαρτος,G169,A-NSM,adjective nominative singular masculine,foul
ακαθαρτου,G169,A-GSN,adjective genitive singular neuter,foul
ακαθαρτω,G169,A-DSN,adjective dative singular neuter,foul
ακαθαρτων,G169,A-GPN,adjective genitive plural neuter,foul
ακαιρως,G171,ADV,adverb,out of season
ακακος,G172,A-NSM,adjective nominative singular masculine,harmless
ακακων,G172,A-GPM,adjective genitive plural masculine,harmless
ακανθαι,G173,N-NPF,noun nominative plural feminine,thorn
ακανθας,G173,N-APF,noun accusative plural feminine,thorn
ακανθινον,G174,A-ASM,adjective accusative singular masculine,of thorns
ακανθων,G173,N-GPF,noun genitive plural feminine,thorn
ακαρπα,G175,A-NPN,adjective nominative plural neuter,without fruit
ακαρποι,G175,A-NPM,adjective nominative plural masculine,without fruit
ακαρποις,G175,A-DPN,adjective dative plural neuter,without fruit
ακαρπος,G175,A-NSM,adjective nominative singular masculine,without fruit
ακαρπους,G175,A-APM,adjective accusative plural masculine,without fruit
ακαταγνωστον,G176,A-ASM,adjective accusative singular masculine,that cannot be condemned
ακατακαλυπτον,G177,A-ASF,adjective accusative singular feminine,uncovered
ακατακαλυπτω,G177,A-DSF,adjective dative singular feminine,uncovered
ακατακριτον,G178,A-ASM,adjective accusative singular masculine,uncondemned
ακατακριτους,G178,A-APM,adjective accusative plural masculine,uncondemned
